Year	Species	Weight (kg)
1968	bluefin tuna	10.04
1968	bluefin tuna	15.45
1968	bluefin tuna	4.99
1968	bluefin tuna	6.80
1968	bluefin tuna	16.78
1968	bluefin tuna	15.11
1968	bluefin tuna	5.44
1968	bluefin tuna	16.78
1968	bluefin tuna	45.36
1969	bluefin tuna	4.99
1969	bluefin tuna	6.80
1969	bluefin tuna	10.43
1969	bluefin tuna	8.16
1969	bluefin tuna	11.34
1969	bluefin tuna	10.12
1969	bluefin tuna	10.21
1969	bluefin tuna	12.70
1969	bluefin tuna	9.98
1969	bluefin tuna	10.04
1969	bluefin tuna	6.35
1969	bluefin tuna	8.16
1969	bluefin tuna	8.16
1969	bluefin tuna	7.71
1969	bluefin tuna	9.07
1969	bluefin tuna	6.58
1969	bluefin tuna	11.34
1969	bluefin tuna	10.66
1969	bluefin tuna	11.34
1970	bluefin tuna	10.66
1970	bluefin tuna	11.37
1970	bluefin tuna	14.66
1970	bluefin tuna	10.21
1970	bluefin tuna	7.71
1970	bluefin tuna	12.70
1970	bluefin tuna	9.98
1970	bluefin tuna	12.47
1970	bluefin tuna	10.21
1970	bluefin tuna	9.53
1970	bluefin tuna	7.94
1970	bluefin tuna	15.65
1970	bluefin tuna	10.89
1970	bluefin tuna	5.22
1970	bluefin tuna	12.25
1970	bluefin tuna	6.80
1970	bluefin tuna	6.80
1971	bluefin tuna	18.09
1971	bluefin tuna	11.79
1971	bluefin tuna	9.07
1971	bluefin tuna	9.53
1972	bluefin tuna	7.48
1972	bluefin tuna	8.16
1972	bluefin tuna	23.59
1973	bluefin tuna	15.88
1973	bluefin tuna	12.93
1973	bluefin tuna	15.88
1973	bluefin tuna	5.90
1973	bluefin tuna	7.26
1973	bluefin tuna	8.62
1973	bluefin tuna	10.43
1973	bluefin tuna	9.53
1973	bluefin tuna	9.30
1974	bluefin tuna	13.15
1974	bluefin tuna	8.85
1974	bluefin tuna	17.69
1974	bluefin tuna	11.34
1974	bluefin tuna	8.16
1974	bluefin tuna	11.79
1974	bluefin tuna	12.47
1974	bluefin tuna	9.98
1974	bluefin tuna	19.05
1974	bluefin tuna	14.51
1974	bluefin tuna	10.89
1974	bluefin tuna	8.62
1974	bluefin tuna	12.70
1974	bluefin tuna	18.26
1974	bluefin tuna	18.82
1974	bluefin tuna	12.25
1974	bluefin tuna	16.44
1974	bluefin tuna	5.90
1974	bluefin tuna	7.71
1975	bluefin tuna	8.39
1975	bluefin tuna	7.94
1975	bluefin tuna	8.16
1975	bluefin tuna	9.07
1975	bluefin tuna	11.51
1975	bluefin tuna	9.07
1975	bluefin tuna	9.98
1975	bluefin tuna	11.79
1975	bluefin tuna	15.08
1975	bluefin tuna	9.98
1975	bluefin tuna	6.80
1975	bluefin tuna	8.16
1975	bluefin tuna	12.33
1975	bluefin tuna	25.85
1975	bluefin tuna	9.98
1975	bluefin tuna	21.38
1976	bluefin tuna	6.80
1976	bluefin tuna	25.85
1976	bluefin tuna	4.31
1976	bluefin tuna	14.51
1976	bluefin tuna	11.11
1976	bluefin tuna	19.50
1976	bluefin tuna	15.42
1976	bluefin tuna	11.34
1976	bluefin tuna	8.16
1976	bluefin tuna	22.23
1976	bluefin tuna	11.34
1976	bluefin tuna	9.98
1976	bluefin tuna	17.46
1976	bluefin tuna	11.34
1976	bluefin tuna	9.07
1976	bluefin tuna	12.25
1976	bluefin tuna	9.07
1976	bluefin tuna	7.26
1976	bluefin tuna	11.34
1976	bluefin tuna	6.35
1976	bluefin tuna	8.16
1976	bluefin tuna	7.71
1976	bluefin tuna	14.97
1976	bluefin tuna	18.37
1976	bluefin tuna	7.26
1976	bluefin tuna	10.43
1976	bluefin tuna	6.80
1976	bluefin tuna	7.71
1976	bluefin tuna	14.51
1976	bluefin tuna	7.94
1976	bluefin tuna	9.70
1976	bluefin tuna	9.53
1976	bluefin tuna	8.62
1976	bluefin tuna	8.16
1976	bluefin tuna	7.26
1977	bluefin tuna	23.13
1977	bluefin tuna	8.39
1977	bluefin tuna	20.41
1977	bluefin tuna	12.70
1977	bluefin tuna	9.98
1978	bluefin tuna	6.35
1978	bluefin tuna	6.80
1979	bluefin tuna	9.30
1979	bluefin tuna	7.26
1979	bluefin tuna	5.90
1979	bluefin tuna	6.80
1979	bluefin tuna	8.16
1979	bluefin tuna	7.94
1979	bluefin tuna	10.21
1979	bluefin tuna	4.99
1979	bluefin tuna	14.29
1979	bluefin tuna	8.16
1979	bluefin tuna	9.07
1979	bluefin tuna	10.43
1979	bluefin tuna	9.07
1979	bluefin tuna	13.72
1979	bluefin tuna	11.34
1979	bluefin tuna	12.25
1979	bluefin tuna	10.89
1979	bluefin tuna	7.71
1979	bluefin tuna	9.53
1979	bluefin tuna	9.98
1979	bluefin tuna	14.97
1979	bluefin tuna	9.75
1979	bluefin tuna	12.25
1980	bluefin tuna	12.70
1980	bluefin tuna	13.15
1980	bluefin tuna	12.70
1980	bluefin tuna	10.21
1980	bluefin tuna	15.42
1980	bluefin tuna	12.02
1980	bluefin tuna	11.11
1980	bluefin tuna	11.79
1980	bluefin tuna	11.57
1980	bluefin tuna	10.66
1981	bluefin tuna	6.12
1981	bluefin tuna	9.30
1982	bluefin tuna	6.35
1982	bluefin tuna	9.07
1982	bluefin tuna	7.71
1982	bluefin tuna	12.25
1982	bluefin tuna	9.98
1982	bluefin tuna	6.80
1982	bluefin tuna	9.53
1982	bluefin tuna	5.98
1983	bluefin tuna	5.90
1983	bluefin tuna	11.34
1983	bluefin tuna	7.26
1983	bluefin tuna	15.08
1983	bluefin tuna	6.80
1983	bluefin tuna	10.89
1983	bluefin tuna	13.61
1983	bluefin tuna	10.43
1983	bluefin tuna	16.33
1983	bluefin tuna	14.51
1983	bluefin tuna	12.70
1983	bluefin tuna	12.02
1983	bluefin tuna	13.61
1983	bluefin tuna	14.29
1983	bluefin tuna	13.61
1983	bluefin tuna	14.29
1983	bluefin tuna	9.07
1984	bluefin tuna	9.53
1984	bluefin tuna	8.16
1984	bluefin tuna	9.19
1984	bluefin tuna	20.07
1984	bluefin tuna	8.16
1984	bluefin tuna	0.79
1984	bluefin tuna	10.43
1984	bluefin tuna	12.25
1984	bluefin tuna	10.66
1984	bluefin tuna	16.33
1984	bluefin tuna	10.89
1984	bluefin tuna	15.88
1984	bluefin tuna	15.42
1984	bluefin tuna	26.99
1984	bluefin tuna	14.86
1984	bluefin tuna	17.35
1984	bluefin tuna	14.74
1984	bluefin tuna	14.06
1985	bluefin tuna	12.70
1985	bluefin tuna	11.34
1985	bluefin tuna	15.88
1985	bluefin tuna	20.87
1985	bluefin tuna	14.06
1985	bluefin tuna	17.24
1985	bluefin tuna	10.89
1985	bluefin tuna	19.50
1985	bluefin tuna	18.60
1985	bluefin tuna	34.70
1985	bluefin tuna	12.93
1985	bluefin tuna	40.82
1985	bluefin tuna	38.56
1986	bluefin tuna	9.98
1986	bluefin tuna	11.68
1986	bluefin tuna	10.89
1986	bluefin tuna	7.71
1986	bluefin tuna	11.57
1986	bluefin tuna	11.79
1986	bluefin tuna	11.79
1986	bluefin tuna	13.61
1986	bluefin tuna	11.34
1986	bluefin tuna	9.34
1986	bluefin tuna	8.85
1986	bluefin tuna	9.98
1986	bluefin tuna	10.89
1986	bluefin tuna	10.89
1986	bluefin tuna	13.15
1986	bluefin tuna	14.29
1986	bluefin tuna	12.70
1986	bluefin tuna	22.68
1986	bluefin tuna	13.61
1986	bluefin tuna	13.61
1986	bluefin tuna	14.97
1986	bluefin tuna	14.06
1986	bluefin tuna	11.34
1986	bluefin tuna	16.10
1986	bluefin tuna	14.06
1986	bluefin tuna	12.25
1986	bluefin tuna	9.98
1986	bluefin tuna	14.97
1986	bluefin tuna	40.37
1986	bluefin tuna	33.11
1986	bluefin tuna	43.54
1986	bluefin tuna	38.10
1986	bluefin tuna	12.25
1986	bluefin tuna	48.99
1986	bluefin tuna	72.57
1986	bluefin tuna	12.25
1986	bluefin tuna	6.35
1986	bluefin tuna	17.01
1987	bluefin tuna	10.43
1987	bluefin tuna	11.20
1987	bluefin tuna	11.23
1987	bluefin tuna	39.24
1987	bluefin tuna	39.24
1987	bluefin tuna	42.18
1987	bluefin tuna	42.18
1987	bluefin tuna	22.91
1987	bluefin tuna	22.91
1987	bluefin tuna	38.69
1987	bluefin tuna	38.69
1987	bluefin tuna	40.14
1987	bluefin tuna	40.14
1987	bluefin tuna	17.01
1987	bluefin tuna	12.88
1988	bluefin tuna	18.14
1988	bluefin tuna	18.14
1988	bluefin tuna	17.24
1988	bluefin tuna	17.24
1988	bluefin tuna	15.88
1988	bluefin tuna	15.88
1988	bluefin tuna	32.20
1988	bluefin tuna	24.72
1988	bluefin tuna	23.59
1988	bluefin tuna	23.59
1988	bluefin tuna	48.53
1988	bluefin tuna	22.23
1988	bluefin tuna	20.41
1988	bluefin tuna	23.13
1988	bluefin tuna	20.41
1988	bluefin tuna	16.78
1988	bluefin tuna	35.38
1989	bluefin tuna	11.57
1989	bluefin tuna	16.15
1989	bluefin tuna	6.35
1989	bluefin tuna	26.31
1989	bluefin tuna	16.05
1989	bluefin tuna	16.33
1989	bluefin tuna	38.33
1989	bluefin tuna	38.33
1989	bluefin tuna	13.61
1989	bluefin tuna	16.33
1989	bluefin tuna	10.43
1989	bluefin tuna	13.61
1989	bluefin tuna	8.85
1989	bluefin tuna	21.32
1989	bluefin tuna	9.98
1989	bluefin tuna	11.34
1989	bluefin tuna	21.77
1989	bluefin tuna	19.50
1989	bluefin tuna	20.41
1989	bluefin tuna	9.53
1989	bluefin tuna	16.47
1989	bluefin tuna	15.56
1990	bluefin tuna	8.16
1990	bluefin tuna	13.15
1990	bluefin tuna	16.78
1990	bluefin tuna	19.50
1990	bluefin tuna	21.77
1990	bluefin tuna	14.51
1990	bluefin tuna	19.05
1990	bluefin tuna	14.51
1990	bluefin tuna	28.80
1990	bluefin tuna	27.22
1990	bluefin tuna	21.32
1990	bluefin tuna	31.30
1990	bluefin tuna	30.84
1990	bluefin tuna	22.23
1990	bluefin tuna	24.04
1990	bluefin tuna	19.05
1990	bluefin tuna	19.96
1990	bluefin tuna	22.68
1990	bluefin tuna	20.87
1990	bluefin tuna	18.14
1990	bluefin tuna	22.68
1990	bluefin tuna	16.33
1990	bluefin tuna	23.59
1990	bluefin tuna	24.49
1990	bluefin tuna	20.41
1990	bluefin tuna	23.13
1990	bluefin tuna	34.93
1990	bluefin tuna	23.59
1990	bluefin tuna	26.31
1991	bluefin tuna	13.38
1991	bluefin tuna	9.30
1991	bluefin tuna	7.51
1991	bluefin tuna	90.72
1991	bluefin tuna	21.32
1991	bluefin tuna	14.51
1991	bluefin tuna	20.41
1992	bluefin tuna	14.06
1992	bluefin tuna	16.56
1992	bluefin tuna	11.34
1992	bluefin tuna	13.24
1992	bluefin tuna	15.88
1992	bluefin tuna	32.66
1992	bluefin tuna	22.23
1992	bluefin tuna	11.79
1992	bluefin tuna	14.51
1992	bluefin tuna	34.47
1992	bluefin tuna	11.79
1992	bluefin tuna	22.23
1992	bluefin tuna	59.87
1992	bluefin tuna	14.06
1992	bluefin tuna	19.05
1992	bluefin tuna	15.88
1992	bluefin tuna	31.75
1992	bluefin tuna	17.12
1992	bluefin tuna	22.45
1992	bluefin tuna	21.43
1992	bluefin tuna	11.34
1992	bluefin tuna	20.41
1992	bluefin tuna	23.81
1992	bluefin tuna	24.49
1992	bluefin tuna	19.05
1992	bluefin tuna	27.22
1992	bluefin tuna	20.41
1992	bluefin tuna	21.77
1992	bluefin tuna	14.97
1992	bluefin tuna	24.95
1992	bluefin tuna	20.87
1992	bluefin tuna	20.41
1992	bluefin tuna	22.68
1992	bluefin tuna	18.14
1992	bluefin tuna	23.13
1992	bluefin tuna	19.05
1992	bluefin tuna	14.51
1992	bluefin tuna	15.88
1992	bluefin tuna	21.32
1992	bluefin tuna	23.13
1992	bluefin tuna	81.19
1992	bluefin tuna	33.79
1992	bluefin tuna	38.10
1992	bluefin tuna	12.70
1992	bluefin tuna	27.22
1992	bluefin tuna	15.88
1992	bluefin tuna	42.18
1992	bluefin tuna	26.31
1992	bluefin tuna	6.80
1992	bluefin tuna	20.41
1992	bluefin tuna	29.26
1992	bluefin tuna	36.06
1992	bluefin tuna	19.50
1992	bluefin tuna	66.22
1993	bluefin tuna	38.56
1993	bluefin tuna	37.19
1993	bluefin tuna	9.07
1993	bluefin tuna	23.59
1993	bluefin tuna	22.45
1993	bluefin tuna	20.41
1993	bluefin tuna	34.47
1993	bluefin tuna	63.96
1993	bluefin tuna	30.84
1993	bluefin tuna	16.78
1993	bluefin tuna	26.99
1993	bluefin tuna	30.84
1993	bluefin tuna	24.49
1993	bluefin tuna	44.91
1993	bluefin tuna	31.30
1993	bluefin tuna	9.53
1993	bluefin tuna	22.34
1993	bluefin tuna	35.38
1993	bluefin tuna	16.78
1993	bluefin tuna	21.32
1993	bluefin tuna	15.42
1993	bluefin tuna	8.16
1993	bluefin tuna	8.16
1993	bluefin tuna	12.70
1993	bluefin tuna	24.49
1994	bluefin tuna	31.18
1994	bluefin tuna	18.14
1994	bluefin tuna	58.51
1994	bluefin tuna	57.15
1994	bluefin tuna	18.14
1994	bluefin tuna	51.26
1994	bluefin tuna	58.06
1994	bluefin tuna	40.82
1994	bluefin tuna	10.93
1994	bluefin tuna	66.90
1994	bluefin tuna	63.50
1994	bluefin tuna	10.25
1994	bluefin tuna	9.07
1994	bluefin tuna	18.99
1994	bluefin tuna	62.14
1994	bluefin tuna	58.06
1994	bluefin tuna	67.13
1994	bluefin tuna	59.19
1994	bluefin tuna	81.19
1994	bluefin tuna	99.79
1994	bluefin tuna	10.89
1994	bluefin tuna	7.71
1994	bluefin tuna	9.53
1995	bluefin tuna	21.77
1996	bluefin tuna	9.07
1996	bluefin tuna	18.60
1997	bluefin tuna	21.09
1997	bluefin tuna	24.95
1997	bluefin tuna	18.14
1997	bluefin tuna	14.06
1997	bluefin tuna	31.84
1997	bluefin tuna	31.84
1997	bluefin tuna	18.14
1997	bluefin tuna	11.34
1997	bluefin tuna	15.88
1997	bluefin tuna	16.10
1997	bluefin tuna	14.97
1997	bluefin tuna	21.32
1997	bluefin tuna	18.14
1997	bluefin tuna	15.88
1997	bluefin tuna	19.28
1997	bluefin tuna	22.68
1997	bluefin tuna	20.64
1997	bluefin tuna	19.05
1997	bluefin tuna	20.41
1997	bluefin tuna	27.67
1997	bluefin tuna	16.33
1997	bluefin tuna	23.59
1997	bluefin tuna	24.04
1997	bluefin tuna	18.14
1997	bluefin tuna	6.80
1997	bluefin tuna	19.50
1997	bluefin tuna	31.75
1997	bluefin tuna	18.60
1997	bluefin tuna	22.68
1997	bluefin tuna	15.47
1997	bluefin tuna	19.78
1997	bluefin tuna	26.08
1997	bluefin tuna	26.90
1997	bluefin tuna	23.13
1997	bluefin tuna	23.13
1997	bluefin tuna	23.47
1997	bluefin tuna	20.18
1997	bluefin tuna	24.49
1997	bluefin tuna	13.61
1997	bluefin tuna	26.76
1997	bluefin tuna	24.95
1997	bluefin tuna	30.39
1997	bluefin tuna	34.02
1997	bluefin tuna	31.07
1997	bluefin tuna	25.85
1997	bluefin tuna	29.39
1997	bluefin tuna	12.25
1997	bluefin tuna	29.94
1997	bluefin tuna	27.22
1997	bluefin tuna	27.22
1997	bluefin tuna	28.12
1997	bluefin tuna	36.29
1997	bluefin tuna	27.67
1997	bluefin tuna	28.58
1997	bluefin tuna	22.68
1997	bluefin tuna	14.51
1997	bluefin tuna	13.15
1998	bluefin tuna	11.34
1998	bluefin tuna	15.88
1998	bluefin tuna	10.12
1998	bluefin tuna	40.14
1998	bluefin tuna	18.14
1998	bluefin tuna	21.77
1998	bluefin tuna	13.61
1998	bluefin tuna	11.34
1998	bluefin tuna	23.59
1998	bluefin tuna	28.58
1998	bluefin tuna	29.08
1998	bluefin tuna	15.88
1998	bluefin tuna	17.69
1998	bluefin tuna	11.34
1998	bluefin tuna	35.83
1998	bluefin tuna	14.97
1998	bluefin tuna	15.88
1998	bluefin tuna	25.85
1998	bluefin tuna	34.47
1998	bluefin tuna	11.34
1998	bluefin tuna	18.60
1998	bluefin tuna	36.29
1998	bluefin tuna	17.46
1998	bluefin tuna	17.24
1998	bluefin tuna	36.29
1998	bluefin tuna	22.68
1998	bluefin tuna	19.05
1998	bluefin tuna	17.24
1998	bluefin tuna	20.87
1998	bluefin tuna	23.59
1998	bluefin tuna	32.66
1998	bluefin tuna	46.72
1998	bluefin tuna	21.86
1998	bluefin tuna	32.66
1998	bluefin tuna	29.03
1998	bluefin tuna	33.11
1998	bluefin tuna	36.29
1998	bluefin tuna	36.29
1998	bluefin tuna	18.96
1998	bluefin tuna	20.87
1998	bluefin tuna	36.29
1998	bluefin tuna	20.41
1998	bluefin tuna	38.56
1998	bluefin tuna	16.78
1998	bluefin tuna	15.88
1998	bluefin tuna	18.14
1998	bluefin tuna	41.28
1998	bluefin tuna	20.41
1998	bluefin tuna	18.14
1998	bluefin tuna	14.97
1998	bluefin tuna	22.68
1998	bluefin tuna	45.36
1998	bluefin tuna	21.77
1998	bluefin tuna	29.35
1998	bluefin tuna	31.75
1998	bluefin tuna	16.19
1998	bluefin tuna	47.63
1998	bluefin tuna	18.14
1998	bluefin tuna	9.07
1999	bluefin tuna	22.23
1999	bluefin tuna	24.49
1999	bluefin tuna	19.50
1999	bluefin tuna	48.90
1999	bluefin tuna	68.63
1999	bluefin tuna	17.69
1999	bluefin tuna	23.13
1999	bluefin tuna	14.51
1999	bluefin tuna	24.95
1999	bluefin tuna	15.42
1999	bluefin tuna	20.41
1999	bluefin tuna	57.15
1999	bluefin tuna	20.41
1999	bluefin tuna	15.88
1999	bluefin tuna	15.88
1999	bluefin tuna	58.06
1999	bluefin tuna	64.86
1999	bluefin tuna	66.22
1999	bluefin tuna	18.14
1999	bluefin tuna	15.88
1999	bluefin tuna	58.97
1999	bluefin tuna	27.22
1999	bluefin tuna	15.37
1999	bluefin tuna	20.87
1999	bluefin tuna	31.75
1999	bluefin tuna	24.95
2000	bluefin tuna	25.17
2000	bluefin tuna	12.93
2000	bluefin tuna	26.76
2000	bluefin tuna	15.88
2000	bluefin tuna	20.41
2000	bluefin tuna	27.22
2000	bluefin tuna	30.84
2000	bluefin tuna	14.06
2000	bluefin tuna	18.60
2000	bluefin tuna	15.88
2000	bluefin tuna	29.94
2000	bluefin tuna	31.75
2000	bluefin tuna	24.95
2000	bluefin tuna	10.43
2001	bluefin tuna	9.98
2001	bluefin tuna	13.15
2001	bluefin tuna	25.85
2001	bluefin tuna	12.93
2001	bluefin tuna	20.41
2001	bluefin tuna	23.50
2001	bluefin tuna	18.14
2001	bluefin tuna	29.94
2001	bluefin tuna	20.41
2001	bluefin tuna	29.94
2001	bluefin tuna	32.20
2001	bluefin tuna	21.32
2001	bluefin tuna	17.24
2001	bluefin tuna	16.78
2001	bluefin tuna	29.48
2001	bluefin tuna	39.92
2001	bluefin tuna	27.22
2001	bluefin tuna	21.77
2001	bluefin tuna	19.05
2001	bluefin tuna	32.20
2001	bluefin tuna	29.48
2001	bluefin tuna	24.95
2001	bluefin tuna	21.77
2001	bluefin tuna	22.68
2002	bluefin tuna	18.14
2002	bluefin tuna	19.05
2002	bluefin tuna	38.56
2002	bluefin tuna	20.50
2002	bluefin tuna	20.41
2002	bluefin tuna	15.42
2002	bluefin tuna	27.22
2002	bluefin tuna	24.95
2002	bluefin tuna	21.77
2002	bluefin tuna	16.78
2002	bluefin tuna	15.88
2002	bluefin tuna	27.67
2002	bluefin tuna	22.68
2002	bluefin tuna	23.13
2002	bluefin tuna	23.59
2002	bluefin tuna	25.85
2002	bluefin tuna	13.61
2003	bluefin tuna	16.33
2003	bluefin tuna	20.41
2003	bluefin tuna	19.05
2003	bluefin tuna	53.52
2003	bluefin tuna	9.07
2003	bluefin tuna	20.41
2003	bluefin tuna	20.41
2003	bluefin tuna	18.14
2003	bluefin tuna	20.41
2003	bluefin tuna	22.00
2003	bluefin tuna	19.96
2003	bluefin tuna	23.59
2003	bluefin tuna	23.59
2003	bluefin tuna	22.68
2003	bluefin tuna	22.68
2004	bluefin tuna	9.53
2004	bluefin tuna	11.34
2004	bluefin tuna	18.14
2004	bluefin tuna	20.87
2004	bluefin tuna	27.67
2004	bluefin tuna	19.50
2005	bluefin tuna	22.68
2006	bluefin tuna	14.51
2006	bluefin tuna	19.05
2006	bluefin tuna	22.68
2008	bluefin tuna	30.84
2008	bluefin tuna	11.34
2008	bluefin tuna	18.14
2009	bluefin tuna	13.61
2009	bluefin tuna	15.88
2009	bluefin tuna	18.14
2009	bluefin tuna	41.73
2009	bluefin tuna	21.77
2009	bluefin tuna	20.41
2009	bluefin tuna	19.96
2009	bluefin tuna	11.34
2009	bluefin tuna	10.43
2009	bluefin tuna	11.34
2010	bluefin tuna	9.07
2010	bluefin tuna	8.16
2011	bluefin tuna	11.34
2011	bluefin tuna	14.92
2011	bluefin tuna	24.04
2011	bluefin tuna	21.23
2011	bluefin tuna	41.10
2011	bluefin tuna	14.51
2011	bluefin tuna	24.95
2011	bluefin tuna	15.88
2011	bluefin tuna	44.32
2011	bluefin tuna	37.29
2011	bluefin tuna	21.82
2011	bluefin tuna	27.67
2011	bluefin tuna	20.41
2012	bluefin tuna	9.07
2012	bluefin tuna	42.18
2012	bluefin tuna	11.34
2012	bluefin tuna	48.99
2012	bluefin tuna	32.21
2012	bluefin tuna	43.45
2012	bluefin tuna	33.84
2012	bluefin tuna	17.24
2012	bluefin tuna	44.00
2012	bluefin tuna	12.70
2012	bluefin tuna	22.77
2012	bluefin tuna	16.78
2012	bluefin tuna	49.89
2012	bluefin tuna	22.68
2012	bluefin tuna	22.68
2012	bluefin tuna	35.61
2012	bluefin tuna	48.53
2012	bluefin tuna	8.16
2013	bluefin tuna	22.68
