stock,year,escapement,escapement_3yr_avg,abundance_forecast,max_allowable,preseason_forecast,postseason_estimate
Sacramento River Winter Chinook,2000,,,,,,21.4
Sacramento River Winter Chinook,2001,"8,224",,,,,23.3
Sacramento River Winter Chinook,2002,"7,464",,,,,21.8
Sacramento River Winter Chinook,2003,"8,218",,,,,10.3
Sacramento River Winter Chinook,2004,"7,869","7,960",,,,24.8
Sacramento River Winter Chinook,2005,"15,839","7,844",,,,17.2
Sacramento River Winter Chinook,2006,"17,290","10,080",,,,15.1
Sacramento River Winter Chinook,2007,"2,541","12,917",,,,17.8
Sacramento River Winter Chinook,2008,"2,830","8,862",,,,0
Sacramento River Winter Chinook,2009,"4,537","4,991",,,,0
Sacramento River Winter Chinook,2010,"1,596","3,195",,,,
Sacramento River Winter Chinook,2011,824,"2,737",,,,28.3
Sacramento River Winter Chinook,2012,"2,671","1,814",,13.7,13.7,12.6
Sacramento River Winter Chinook,2013,"6,084","1,520",,12.9,12.9,18.8
Sacramento River Winter Chinook,2014,"3,015","2,375",,15.4,15.4,15.8
Sacramento River Winter Chinook,2015,"3,439","3,659",,19,17.5,
Sacramento River Winter Chinook,2016,"1,546","3,981",,19.9,12.8,10.7
Sacramento River Winter Chinook,2017,975,"2,521",,15.8,12.2,17.6
Sacramento River Winter Chinook,2018,"2,638","1,731","1,594",14.4,8.5,13.9
Sacramento River Winter Chinook,2019,"8,129","1,584","1,924",15.7,14.8,10
Sacramento River Winter Chinook,2020,"7,429","2,755","3,077",20,16.2,13.6
Sacramento River Winter Chinook,2021,"10,506","5,421","9,063",20,14.7,
Sacramento River Winter Chinook,2022,,"8,593","5,971",20,,
