Year (t),Age-3,Age-4,Age-3,Age-4,Ocean,River,Ocean,River,Ocean,River,Ocean,River
1986-90,"447,640","144,880","677,548","199,729",0.3,0.51,0.44,0.54,"104,100","56,020","214,598","51,814"
1991-95,"185,520","52,320","236,925","30,168",0.09,0.28,0.13,0.34,"12,980","14,460","13,095","13,667"
1996-00,"262,960","97,220","246,677","81,693",0.11,0.44,0.1,0.33,"30,500","44,180","21,336","31,382"
2001,"187,200","247,000","356,128","133,801",0.14,0.61,0.09,0.29,"45,600","105,300","21,747","50,780"
2002,"209,000","143,800","513,604","98,927",0.13,0.57,0.15,0.26,"30,000","70,900","28,896","35,069"
2003,"171,300","132,400","401,112","192,180",0.16,0.5,0.21,0.28,"30,600","52,200","70,995","39,715"
2004,"72,100","134,500","159,446","105,246",0.15,0.38,0.35,0.48,"26,500","35,800","64,226","29,807"
2005,"185,700","48,900","189,977","38,079",0.08,0.16,0.2,0.19,"7,100","9,600","12,807","10,001"
2006,"44,100","63,700","90,666","63,384",0.11,0.23,0.1,0.18,"10,000","10,000","10,401","10,345"
2007,"515,400","26,100","376,940","33,650",0.16,0.63,0.21,0.56,"30,200","51,400","30,275","33,884"
2008,"31,600","157,200","68,015","81,411",0.02,0.43,0.1,0.38,"4,500","49,500","8,716","24,180"
2009,"474,900","25,200","240,787","21,131",0,0.57,0,0.4,100,"61,700",53,"34,040"
2010,"223,400","106,300","192,750","62,089",0.12,0.49,0.04,0.4,"22,600","46,600","4,489","32,920"
2011,"304,600","61,600","240,222","64,570",0.16,0.54,0.08,0.34,"26,900","42,700","12,011","30,502"
2012,"1,567,600","79,600","799,446","74,300",0.16,0.77,0.08,0.51,"92,400","227,600","34,719","109,263"
2013,"390,700","331,200","438,443","194,407",0.16,0.62,0.2,0.51,"74,800","154,800","59,511","82,835"
2014,"219,800","67,400","216,493","180,669",0.16,0.4,0.17,0.25,"23,200","31,400","40,158","31,353"
2015,"342,200","71,100","110,506","60,979",0.16,0.59,0.22,0.47,"29,400","57,700","20,019","35,890"
2016,"93,400","45,100","32,670","24,777",0.08,0.19,0.09,0.31,"6,300","8,500","3,025","6,470"
2017,"42,000","10,600","63,236","9,821",0.03,0.06,0.04,0.08,700,900,"1,783","1,951"
2018,"330,000","28,400","193,685","10,531",0.12,0.34,0.24,0.36,"14,600","21,600","13,227","18,879"
2019,"167,500","106,100","81,803","15,660",0.16,0.47,0.36,0.38,"24,800","40,000","8,677","11,365"
2020d/,"149,600","36,200","132,864","14,229",0.09,0.22,0.23,0.37,"7,300","9,900","4,735","10,329"
2021e/,"135,600","45,100","155,267","38,319",0.11,0.19,0.27,0.22,"6,900","9,400","17,961","2,777"
2022,"155,000","43,200",-,-,-,-,-,-,-,-,-,-
