"mgmt_group","comm_name","sci_name","level"
"Coastal pelagic species","Pacific herring","Clupea pallasii pallasii","species"
"Coastal pelagic species","Market squid","Doryteuthis opalescens","species"
"Coastal pelagic species","Humboldt squid","Dosidicus gigas","species"
"Coastal pelagic species","Northern anchovy","Engraulis mordax","species"
"Coastal pelagic species","Round herring","Etrumeus teres","species"
"Coastal pelagic species","Pacific bonito","Sarda chiliensis","species"
"Coastal pelagic species","Pacific sardine","Sardinops sagax","species"
"Coastal pelagic species","Chub mackerel","Scomber japonicus","species"
"Coastal pelagic species","Jack mackerel","Trachurus symmetricus","species"
"Coastal pelagic species","Unsp. Mackerel",NA,"group"
"Crabs","Tanner crab","Chionoecetes bairdi","species"
"Crabs","Snow crab","Chionoecetes opilio","species"
"Crabs","Scarlet king crab","Lithodes couesi","species"
"Crabs","Dungeness crab","Metacarcinus magister","species"
"Crabs","Crustaceans",NA,"group"
"Crabs","Decapoda (order) crabs",NA,"group"
"Crabs","King crab",NA,"group"
"Crabs","Snow/tanner crab",NA,"group"
"Crabs","Other crab",NA,"group"
"Crabs","Unsp. Crab",NA,"group"
"Crabs","Rock crab",NA,"group"
"Crabs","Unsp. King crab",NA,"group"
"Crabs","Unsp. Tanner crab",NA,"group"
"Groundfish","Sablefish","Anoplopoma fimbria","species"
"Groundfish","Pacific flatnose","Antimora microlepis","species"
"Groundfish","Arrowtooth flounder","Atheresthes stomias","species"
"Groundfish","Roughtail skate","Bathyraja trachura","species"
"Groundfish","Big skate","Beringraja binoculata","species"
"Groundfish","Longnose skate","Beringraja rhina","species"
"Groundfish","Pacific sanddab","Citharichthys sordidus","species"
"Groundfish","Speckled sanddab","Citharichthys stigmaeus","species"
"Groundfish","Longfin sanddab","Citharichthys xanthostigma","species"
"Groundfish","Pacific grenadier","Coryphaenoides acrolepis","species"
"Groundfish","Deepsea sole","Embassichthys bathybius","species"
"Groundfish","Petrale sole","Eopsetta jordani","species"
"Groundfish","Walleye pollock","Gadus chalcogrammus","species"
"Groundfish","Pacific cod","Gadus macrocephalus","species"
"Groundfish","Soupfin shark","Galeorhinus galeus","species"
"Groundfish","Rex sole","Glyptocephalus zachirus","species"
"Groundfish","Kelp greenling","Hexagrammos decagrammus","species"
"Groundfish","Bigmouth sole","Hippoglossina stomata","species"
"Groundfish","Flathead sole","Hippoglossoides elassodon","species"
"Groundfish","Spotted ratfish","Hydrolagus colliei","species"
"Groundfish","Diamond turbot","Hypsopsetta guttulata","species"
"Groundfish","Butter sole","Isopsetta isolepis","species"
"Groundfish","Southern rock sole","Lepidopsetta bilineata","species"
"Groundfish","Yellowfin sole","Limanda aspera","species"
"Groundfish","Slender sole","Lyopsetta exilis","species"
"Groundfish","Capelin","Mallotus villosus","species"
"Groundfish","Pacific hake","Merluccius productus","species"
"Groundfish","Dover sole","Microstomus pacificus","species"
"Groundfish","Lingcod","Ophiodon elongatus","species"
"Groundfish","English sole","Parophrys vetulus","species"
"Groundfish","Starry flounder","Platichthys stellatus","species"
"Groundfish","Atka mackerel","Pleurogrammus monopterygius","species"
"Groundfish","C-O sole","Pleuronichthys coenosus","species"
"Groundfish","Curlfin sole","Pleuronichthys decurrens","species"
"Groundfish","Spotted turbot","Pleuronichthys ritteri","species"
"Groundfish","Hornyhead turbot","Pleuronichthys verticalis","species"
"Groundfish","Sand sole","Psettichthys melanostictus","species"
"Groundfish","California skate","Raja inornata","species"
"Groundfish","Greenland halibut","Reinhardtius hippoglossoides","species"
"Groundfish","California scorpionfish","Scorpaena guttata","species"
"Groundfish","Cabezon","Scorpaenichthys marmoratus","species"
"Groundfish","Rougheye rockfish","Sebastes aleutianus","species"
"Groundfish","Pacific ocean perch","Sebastes alutus","species"
"Groundfish","Kelp rockfish","Sebastes atrovirens","species"
"Groundfish","Brown rockfish","Sebastes auriculatus","species"
"Groundfish","Aurora rockfish","Sebastes aurora","species"
"Groundfish","Redbanded rockfish","Sebastes babcocki","species"
"Groundfish","Shortraker rockfish","Sebastes borealis","species"
"Groundfish","Silvergray rockfish","Sebastes brevispinis","species"
"Groundfish","Gopher rockfish","Sebastes carnatus","species"
"Groundfish","Copper rockfish","Sebastes caurinus","species"
"Groundfish","Greenspotted rockfish","Sebastes chlorostictus","species"
"Groundfish","Black-and-yellow rockfish","Sebastes chrysomelas","species"
"Groundfish","Starry rockfish","Sebastes constellatus","species"
"Groundfish","Darkblotched rockfish","Sebastes crameri","species"
"Groundfish","Calico rockfish","Sebastes dallii","species"
"Groundfish","Deacon rockfish","Sebastes diaconus","species"
"Groundfish","Splitnose rockfish","Sebastes diploproa","species"
"Groundfish","Greenstriped rockfish","Sebastes elongatus","species"
"Groundfish","Puget sound rockfish","Sebastes emphaeus","species"
"Groundfish","Swordspine rockfish","Sebastes ensifer","species"
"Groundfish","Widow rockfish","Sebastes entomelas","species"
"Groundfish","Pink rockfish","Sebastes eos","species"
"Groundfish","Yellowtail rockfish","Sebastes flavidus","species"
"Groundfish","Bronzespotted rockfish","Sebastes gilli","species"
